strategy,mean_gain,gain_ci_low,gain_ci_high,mean_gain_per_example,delta_kappa,mean_rounds_to_threshold,mean_selection_size
disteval_right_tail,0.02925279315851605,0.01813129683904935,0.03383925329567627,0.005850558631703209,0.050000000000000155,20.0,5.0
random_sampling,0.0180461537372965,0.003349023041744806,0.03797867261311883,0.0036092307474593,0.0,20.0,5.0
top_k_hardest,0.0,0.0,0.0,0.0,0.0,20.0,5.0
all_tasks,0.042243906150690874,0.034387906313012126,0.047832270971703957,0.0009387534700153528,0.0,20.0,45.0
solid_only,0.0,0.0,0.0,0.0,0.0,20.0,5.035
