profile,mean,median,std,iqm,cvar_0.1,pass_hat_4,kappa,mean_ci_width,iqm_ci_width,cvar_0.1_ci_width,kappa_ci_width,pass_hat_4_ci_width
consistent,0.5,0.5010090355278589,0.00682737861939699,0.5003116087757471,0.48857464201105105,0.0,0.9844843222197688,0.004787851369466689,0.005422485445902181,0.010401371989162744,0.0,0.0
inconsistent,0.4999305739951146,0.4973201796506207,0.45291262275786415,0.5330292878758229,0.0,0.0,0.5001007331009516,0.3023869893392062,0.6445889420038373,0.00023694151923432357,0.0,0.19999999999999998
tail_heavy,0.5,0.5012172608271859,0.3223301937187658,0.5024532195301266,0.09268275050348214,0.0,0.5581238422365806,0.22522424709135913,0.4122908209688821,0.04238952119981339,0.0,0.0
